epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.0257,1.29487,1.58984,1.29374,0.0143,0.03051,0.00433,0.00094,4.01018,10.8303,6.2528,0.00066453,0.00066453,0.00066453
2,151.417,1.22168,0.88458,1.22297,0.00082,0.16407,0.00065,0.00014,3.55569,5.50538,3.36995,0.00130484,0.00130484,0.00130484
3,224.343,1.17426,0.77415,1.19075,0.00228,0.05034,0.00101,0.0002,4.71136,6.82733,5.15997,0.00191875,0.00191875,0.00191875
4,293.947,1.16183,0.7497,1.17977,0.83344,0.70337,0.80098,0.41379,1.67243,1.43934,1.55117,0.0018812,0.0018812,0.0018812
5,364.231,1.11001,0.69899,1.1549,1e-05,0.00036,0,0,6.08699,8.59832,9.49201,0.0018416,0.0018416,0.0018416
6,435.276,1.07547,0.65976,1.13577,0.00721,0.0105,0.00561,0.00136,4.57682,6.06972,4.71375,0.001802,0.001802,0.001802
7,506.809,1.03558,0.63092,1.1174,0.79616,0.70447,0.79184,0.37087,1.99767,1.18253,1.77669,0.0017624,0.0017624,0.0017624
8,577.519,1.01202,0.6127,1.10971,0.58217,0.55863,0.57031,0.27454,2.06089,1.58938,1.75401,0.0017228,0.0017228,0.0017228
9,656.037,0.9862,0.59392,1.09422,0.13325,0.02535,0.0176,0.00817,2.40507,4.77105,2.12092,0.0016832,0.0016832,0.0016832
10,742.732,0.97303,0.57655,1.08705,0.00485,0.04781,0.00651,0.00185,3.78926,5.52928,4.4837,0.0016436,0.0016436,0.0016436
11,829.715,0.95455,0.5679,1.07822,0.9673,0.94285,0.96019,0.63887,1.1987,0.53496,1.13507,0.001604,0.001604,0.001604
12,916.408,0.92822,0.54255,1.06452,0.9678,0.94703,0.96204,0.67283,1.09682,0.53092,1.09465,0.0015644,0.0015644,0.0015644
13,995.127,0.92278,0.53791,1.06361,0.93854,0.9236,0.95035,0.6365,1.19802,0.53193,1.14739,0.0015248,0.0015248,0.0015248
14,1066.33,0.9047,0.52362,1.05264,0.00979,0.0239,0.00085,0.00016,4.88997,7.67418,5.70066,0.0014852,0.0014852,0.0014852
15,1138,0.88488,0.5161,1.04717,0.04055,0.00724,0.00539,0.00118,5.18164,5.80935,6.65746,0.0014456,0.0014456,0.0014456
16,1209.05,0.8894,0.52271,1.04982,0.94353,0.93196,0.95807,0.64505,1.16348,0.54625,1.14572,0.001406,0.001406,0.001406
17,1294.23,0.87257,0.50524,1.04489,0.96596,0.9353,0.96057,0.66292,1.09975,0.52047,1.10035,0.0013664,0.0013664,0.0013664
18,1370.64,0.84669,0.48413,1.03274,0.82798,0.73307,0.84653,0.57852,1.23952,1.29605,1.22335,0.0013268,0.0013268,0.0013268
19,1441.21,0.84501,0.48531,1.02929,0.90667,0.90221,0.93313,0.63749,1.17405,0.62515,1.15543,0.0012872,0.0012872,0.0012872
20,1521.26,0.83511,0.47888,1.02367,0.93591,0.9243,0.95271,0.64337,1.16231,0.53642,1.15048,0.0012476,0.0012476,0.0012476
21,1612.76,0.82019,0.46244,1.01668,0.9491,0.90492,0.95814,0.68737,1.07818,0.51177,1.08354,0.001208,0.001208,0.001208
22,1697.75,0.8215,0.47049,1.01809,0.98599,0.95509,0.9658,0.69774,1.0363,0.43191,1.04724,0.0011684,0.0011684,0.0011684
