epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.3051,1.1605,1.49311,1.17968,0.2422,0.1648,0.11269,0.05022,2.35076,3.24052,2.17728,0.00066453,0.00066453,0.00066453
2,161.58,1.03701,0.78643,1.10236,0.03441,0.01159,0.00361,0.00176,3.72304,5.3329,3.66199,0.00130484,0.00130484,0.00130484
3,228.799,0.96836,0.66947,1.07269,0.57499,0.5003,0.54312,0.34893,1.63335,1.82702,1.55207,0.00191875,0.00191875,0.00191875
4,297.222,0.93786,0.62014,1.05911,0.74289,0.32452,0.40391,0.25737,1.96497,2.90872,1.98156,0.0018812,0.0018812,0.0018812
5,364.478,0.87184,0.56785,1.02883,0.93338,0.80172,0.88604,0.56662,1.35582,0.7626,1.2947,0.0018416,0.0018416,0.0018416
6,430.85,0.83365,0.53129,1.01434,0.44088,0.11264,0.13172,0.07034,2.62261,4.43417,2.66346,0.001802,0.001802,0.001802
7,497.722,0.79038,0.49696,0.99902,0.74539,0.64397,0.69885,0.39297,1.66973,1.3813,1.36235,0.0017624,0.0017624,0.0017624
8,565.792,0.77022,0.48467,0.99389,0.66354,0.3285,0.39187,0.20939,1.95385,2.81148,1.70495,0.0017228,0.0017228,0.0017228
9,632.983,0.73969,0.45949,0.97912,0.89375,0.77725,0.87648,0.55197,1.40078,0.92652,1.22523,0.0016832,0.0016832,0.0016832
10,702.601,0.7308,0.44926,0.97538,0.91533,0.83013,0.92152,0.645,1.18665,0.61096,1.14119,0.0016436,0.0016436,0.0016436
11,769.04,0.70725,0.43334,0.96663,0.93214,0.73778,0.82404,0.49923,1.58246,0.98909,1.38799,0.001604,0.001604,0.001604
12,836.547,0.69479,0.42731,0.96491,0.80889,0.75878,0.83836,0.50474,1.51891,0.87366,1.32098,0.0015644,0.0015644,0.0015644
13,903.181,0.68068,0.41305,0.95997,0.77415,0.82687,0.84746,0.6005,1.20742,0.7276,1.1771,0.0015248,0.0015248,0.0015248
14,970.076,0.67538,0.40507,0.95108,0.79419,0.78407,0.81327,0.42921,1.84509,0.92875,1.56787,0.0014852,0.0014852,0.0014852
15,1035.51,0.65693,0.39794,0.94971,0.31946,0.15248,0.13016,0.08564,2.56805,4.80524,2.62178,0.0014456,0.0014456,0.0014456
16,1102.42,0.66116,0.39656,0.95058,0.87437,0.84281,0.89699,0.59394,1.33904,0.69555,1.22064,0.001406,0.001406,0.001406
17,1173.77,0.64748,0.39007,0.94861,0.78488,0.88803,0.89655,0.62775,1.25858,0.64147,1.21719,0.0013664,0.0013664,0.0013664
18,1242.62,0.63254,0.37502,0.94197,0.66205,0.33575,0.40904,0.2619,2.0106,3.78947,2.03193,0.0013268,0.0013268,0.0013268
19,1310.74,0.62732,0.37265,0.94253,0.80088,0.54629,0.65152,0.46589,1.27993,1.86426,1.258,0.0012872,0.0012872,0.0012872
20,1378.67,0.61966,0.36502,0.93646,0.45075,0.40514,0.33924,0.22082,1.80232,3.12476,1.60032,0.0012476,0.0012476,0.0012476
21,1445.21,0.60552,0.35766,0.9324,0.47652,0.6063,0.59037,0.37949,1.66949,3.03753,1.66248,0.001208,0.001208,0.001208
22,1512.68,0.60494,0.35695,0.93376,0.51655,0.53715,0.58028,0.39262,1.57273,1.97684,1.4503,0.0011684,0.0011684,0.0011684
23,1581.46,0.59999,0.35382,0.93111,0.84703,0.8383,0.845,0.566,1.36892,0.81984,1.29021,0.0011288,0.0011288,0.0011288
24,1650.32,0.59414,0.34469,0.9294,0.74051,0.68525,0.69718,0.47049,1.45811,1.35128,1.40929,0.0010892,0.0010892,0.0010892
25,1720.65,0.58175,0.34119,0.92418,0.80821,0.8602,0.88537,0.56033,1.44687,0.71689,1.25487,0.0010496,0.0010496,0.0010496
26,1794.81,0.57754,0.33705,0.92519,0.74291,0.77725,0.81142,0.54939,1.35818,1.02889,1.2409,0.00101,0.00101,0.00101
27,1871.2,0.5649,0.33378,0.91797,0.84684,0.8707,0.86941,0.56678,1.33709,0.65976,1.24989,0.0009704,0.0009704,0.0009704
28,1940.56,0.56623,0.32875,0.91848,0.83082,0.74526,0.7905,0.55811,1.34704,1.16128,1.27361,0.0009308,0.0009308,0.0009308
29,2015.1,0.56309,0.32803,0.91828,0.84966,0.84333,0.85699,0.63744,1.16007,0.79543,1.15194,0.0008912,0.0008912,0.0008912
30,2090.78,0.54466,0.31861,0.91301,0.86722,0.87867,0.87525,0.63013,1.14831,0.71453,1.13629,0.0008516,0.0008516,0.0008516
31,2162.1,0.54394,0.31602,0.91309,0.77557,0.78601,0.83102,0.56592,1.31457,0.91877,1.34976,0.000812,0.000812,0.000812
32,2234.4,0.53925,0.31569,0.91062,0.85882,0.8678,0.89083,0.59885,1.33311,0.64087,1.25428,0.0007724,0.0007724,0.0007724
33,2306.19,0.53057,0.31011,0.90981,0.85871,0.89497,0.86723,0.60586,1.20602,0.62773,1.1695,0.0007328,0.0007328,0.0007328
