epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.7141,1.27601,1.3254,1.27828,0.75574,0.73287,0.78983,0.40262,1.67968,1.17466,1.52692,0.000665597,0.000665597,0.000665597
2,155.776,1.21936,0.87132,1.23905,0.1213,0.0029,0.0054,0.00417,4.12301,4.70136,3.27359,0.00130588,0.00130588,0.00130588
3,227.502,1.17406,0.79978,1.21726,0.00104,0.01195,0.00053,7e-05,4.22522,5.30831,4.78025,0.00191977,0.00191977,0.00191977
4,299.31,1.11573,0.72362,1.17638,0.00039,0.0029,0.0002,5e-05,3.98133,4.59118,3.18662,0.0018812,0.0018812,0.0018812
5,371.118,1.08432,0.69823,1.16086,7e-05,0.00109,4e-05,1e-05,4.55965,5.74206,4.59424,0.0018416,0.0018416,0.0018416
6,443.036,1.0408,0.65934,1.13919,0.83567,0.74226,0.81887,0.47493,1.58723,1.08643,1.46673,0.001802,0.001802,0.001802
7,514.487,1.01192,0.62772,1.12339,0.00019,0.01847,0.0001,3e-05,3.33466,6.18348,3.59369,0.0017624,0.0017624,0.0017624
8,587.267,0.97529,0.59795,1.1061,0.01173,0.07497,0.01819,0.00319,3.65228,5.39489,3.58564,0.0017228,0.0017228,0.0017228
9,658.531,0.9478,0.57957,1.09534,0.93772,0.92711,0.9425,0.60127,1.31504,0.59359,1.28319,0.0016832,0.0016832,0.0016832
10,730.51,0.94109,0.56644,1.08734,0.94001,0.89714,0.94221,0.63921,1.21669,0.58975,1.18934,0.0016436,0.0016436,0.0016436
11,802.669,0.92112,0.5516,1.07478,0.71748,0.49511,0.60252,0.28179,2.13993,1.71797,2.1008,0.001604,0.001604,0.001604
12,873.863,0.89988,0.53345,1.06592,0.95421,0.92974,0.95954,0.67825,1.1107,0.5178,1.11117,0.0015644,0.0015644,0.0015644
13,944.526,0.89464,0.52568,1.06442,0.9493,0.92224,0.95429,0.6098,1.29051,0.59645,1.20212,0.0015248,0.0015248,0.0015248
14,1015.27,0.87702,0.51154,1.05063,0.9498,0.93372,0.96026,0.64581,1.18703,0.54836,1.13866,0.0014852,0.0014852,0.0014852
15,1085.83,0.85621,0.5028,1.04524,0.97491,0.9571,0.96642,0.67819,1.0998,0.45767,1.10353,0.0014456,0.0014456,0.0014456
16,1157.31,0.85498,0.49889,1.04476,0.96516,0.92299,0.95733,0.64644,1.18766,0.56557,1.12546,0.001406,0.001406,0.001406
17,1228.79,0.84756,0.49459,1.04128,0.96184,0.90873,0.95356,0.61489,1.26626,0.55462,1.17235,0.0013664,0.0013664,0.0013664
18,1299.79,0.83747,0.488,1.0367,0.97582,0.93566,0.96315,0.66508,1.14855,0.50888,1.10975,0.0013268,0.0013268,0.0013268
19,1370.6,0.83653,0.47881,1.03435,0.18253,0.17897,0.09175,0.02184,3.39017,3.78584,4.42792,0.0012872,0.0012872,0.0012872
20,1443.14,0.81817,0.46932,1.02691,0.70009,0.59,0.65869,0.35832,1.77412,1.47516,1.64277,0.0012476,0.0012476,0.0012476
21,1515.4,0.80606,0.45761,1.01956,0.83465,0.71206,0.79196,0.41012,1.78451,1.02507,1.52195,0.001208,0.001208,0.001208
22,1587.41,0.79443,0.44948,1.01446,0.96383,0.9169,0.96025,0.66929,1.15869,0.49727,1.11424,0.0011684,0.0011684,0.0011684
23,1658.72,0.79174,0.44774,1.01318,0.97783,0.9586,0.96509,0.6893,1.06894,0.45039,1.07097,0.0011288,0.0011288,0.0011288
24,1730.56,0.77701,0.44322,1.00858,0.97656,0.95061,0.96504,0.68257,1.12808,0.46715,1.12043,0.0010892,0.0010892,0.0010892
25,1801.76,0.7698,0.43613,1.00547,0.98805,0.9569,0.96633,0.69025,1.10896,0.44512,1.08318,0.0010496,0.0010496,0.0010496
26,1874.54,0.76764,0.43826,1.00515,0.97124,0.94182,0.96391,0.67904,1.12529,0.48781,1.10604,0.00101,0.00101,0.00101
27,1945.06,0.75365,0.42654,0.99599,0.9735,0.94459,0.9613,0.68319,1.12736,0.45641,1.08126,0.0009704,0.0009704,0.0009704
28,2016.98,0.74534,0.41904,0.99586,0.97663,0.93841,0.96611,0.68964,1.10216,0.46369,1.07403,0.0009308,0.0009308,0.0009308
29,2089.08,0.74591,0.41807,0.99515,0.97886,0.93927,0.96828,0.68683,1.13413,0.47063,1.08044,0.0008912,0.0008912,0.0008912
30,2160.96,0.73969,0.414,0.99076,0.97115,0.95091,0.96873,0.70836,1.05501,0.42687,1.05405,0.0008516,0.0008516,0.0008516
31,2238.13,0.73352,0.4094,0.99104,0.96336,0.9435,0.96595,0.68679,1.12224,0.46374,1.08968,0.000812,0.000812,0.000812
32,2315.93,0.72245,0.40644,0.98577,0.98243,0.95328,0.96328,0.69447,1.08762,0.43518,1.07071,0.0007724,0.0007724,0.0007724
33,2389.67,0.71465,0.39875,0.98231,0.9774,0.9569,0.96464,0.69878,1.07151,0.42302,1.05543,0.0007328,0.0007328,0.0007328
34,2462.01,0.70671,0.3955,0.97635,0.97356,0.95255,0.9636,0.68361,1.11857,0.43939,1.07438,0.0006932,0.0006932,0.0006932
35,2534.92,0.70311,0.38884,0.97561,0.97719,0.93155,0.96441,0.68999,1.09316,0.4446,1.06748,0.0006536,0.0006536,0.0006536
36,2607.27,0.70013,0.38855,0.97561,0.97553,0.95312,0.96931,0.69549,1.08882,0.44112,1.06251,0.000614,0.000614,0.000614
37,2678.82,0.68864,0.38134,0.96953,0.98869,0.94567,0.96884,0.69139,1.10474,0.43512,1.06196,0.0005744,0.0005744,0.0005744
38,2750.71,0.68297,0.37521,0.96898,0.98564,0.94458,0.96675,0.68971,1.11765,0.43447,1.07026,0.0005348,0.0005348,0.0005348
39,2822.53,0.67907,0.37307,0.96962,0.98499,0.95046,0.96633,0.69544,1.10177,0.42724,1.06401,0.0004952,0.0004952,0.0004952
40,2894.45,0.67315,0.37035,0.96674,0.9865,0.9511,0.96659,0.68818,1.1183,0.43257,1.06649,0.0004556,0.0004556,0.0004556
41,2967.7,0.57635,0.27857,0.90399,0.98333,0.96269,0.96839,0.69495,1.09765,0.42438,1.06579,0.000416,0.000416,0.000416
42,3035.31,0.56512,0.27333,0.89608,0.98763,0.95436,0.96671,0.69139,1.11599,0.42134,1.07361,0.0003764,0.0003764,0.0003764
43,3103.44,0.55796,0.26677,0.8981,0.98471,0.95625,0.96727,0.69465,1.11824,0.41001,1.06656,0.0003368,0.0003368,0.0003368
44,3171.65,0.5521,0.26293,0.8938,0.98502,0.95242,0.96905,0.68766,1.13541,0.42471,1.07529,0.0002972,0.0002972,0.0002972
45,3239.33,0.53699,0.25718,0.89022,0.98914,0.95671,0.96706,0.69171,1.12057,0.42729,1.0641,0.0002576,0.0002576,0.0002576
46,3307.18,0.53274,0.25545,0.88702,0.9848,0.95292,0.9672,0.68979,1.13006,0.42738,1.0728,0.000218,0.000218,0.000218
47,3375.32,0.52794,0.25027,0.88554,0.9857,0.95799,0.96779,0.69159,1.11926,0.41678,1.0678,0.0001784,0.0001784,0.0001784
48,3442.85,0.52137,0.24806,0.88401,0.98666,0.95292,0.96682,0.68904,1.13099,0.42274,1.07201,0.0001388,0.0001388,0.0001388
49,3510.9,0.51374,0.24372,0.8826,0.9844,0.95147,0.96623,0.69097,1.12321,0.4181,1.07136,9.92e-05,9.92e-05,9.92e-05
50,3580.2,0.51071,0.24242,0.87935,0.98759,0.95129,0.96641,0.69127,1.12637,0.416,1.07135,5.96e-05,5.96e-05,5.96e-05
