epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,394.744,0.9246,1.06966,1.23423,0.01034,0.31278,0.00698,0.00149,3.64026,4.184,3.75287,0.00332825,0.00332825,0.00332825
2,712.02,0.79781,0.61377,1.14043,0.00881,0.01518,0.00554,0.00223,3.09519,6.09267,3.37732,0.00652969,0.00652969,0.00652969
3,1092.68,0.85302,0.65714,1.1655,0,0,0,0,5.77873,6.46078,7.6664,0.00959912,0.00959912,0.00959912
4,1434.23,0.8484,0.63848,1.15327,0.92615,0.61599,0.69777,0.54237,1.35146,1.99195,1.61357,0.009406,0.009406,0.009406
5,1739.83,0.776,0.57851,1.11103,0.00668,0.00046,0.00581,0.0014,5.19356,8.09441,5.73486,0.009208,0.009208,0.009208
6,2051.87,0.73635,0.54183,1.08645,0.92908,0.62706,0.72018,0.62543,1.15244,1.84224,1.51869,0.00901,0.00901,0.00901
7,2351.59,0.70824,0.51939,1.06968,0.09938,0.15725,0.11067,0.06,3.21319,5.81952,3.19582,0.008812,0.008812,0.008812
8,2652.05,0.67735,0.4942,1.04859,0.91932,0.74198,0.83471,0.64783,1.02735,1.05517,1.2678,0.008614,0.008614,0.008614
9,2961.02,0.66595,0.48227,1.04256,0.98129,0.97883,0.99325,0.88225,0.50207,0.27274,0.93683,0.008416,0.008416,0.008416
10,3261.78,0.64779,0.47146,1.03286,0.95054,0.74635,0.85735,0.71823,0.92164,0.9968,1.19115,0.008218,0.008218,0.008218
11,3561.23,0.63595,0.4583,1.02549,0.98871,0.98731,0.99398,0.90686,0.44897,0.23363,0.90056,0.00802,0.00802,0.00802
12,3862.55,0.62594,0.44962,1.01866,0.98114,0.98168,0.99328,0.90214,0.46295,0.25327,0.90903,0.007822,0.007822,0.007822
13,4172.81,0.61427,0.44483,1.01398,0.98902,0.99218,0.99427,0.91146,0.43089,0.22076,0.89872,0.007624,0.007624,0.007624
14,4534.87,0.6113,0.43558,1.01042,0.98948,0.99195,0.99423,0.91767,0.43103,0.21168,0.88972,0.007426,0.007426,0.007426
15,4837.1,0.6011,0.43081,1.00812,0.98903,0.99183,0.99435,0.91631,0.41569,0.20877,0.88143,0.007228,0.007228,0.007228
16,5135.06,0.59408,0.42613,1.00317,0.98911,0.99206,0.99428,0.91677,0.40897,0.20286,0.88002,0.00703,0.00703,0.00703
17,5445.86,0.58462,0.41655,0.99948,0.99146,0.99275,0.99434,0.91737,0.41421,0.19754,0.87908,0.006832,0.006832,0.006832
18,5752.95,0.5793,0.41736,0.99707,0.99079,0.9939,0.99422,0.91892,0.40314,0.19634,0.87194,0.006634,0.006634,0.006634
19,6053.5,0.57829,0.41126,0.99822,0.99184,0.99311,0.99423,0.91853,0.40069,0.1935,0.87177,0.006436,0.006436,0.006436
20,6364.82,0.56815,0.40547,0.99321,0.99255,0.99275,0.99428,0.91752,0.40385,0.18994,0.87472,0.006238,0.006238,0.006238
21,6664.88,0.56301,0.40423,0.99105,0.99276,0.99354,0.99421,0.91873,0.40167,0.18684,0.87201,0.00604,0.00604,0.00604
22,6962.96,0.55647,0.39563,0.98685,0.99322,0.99386,0.9942,0.91965,0.40379,0.18705,0.87306,0.005842,0.005842,0.005842
23,7260.03,0.54961,0.39242,0.98327,0.99184,0.99316,0.99416,0.9192,0.40334,0.18629,0.87345,0.005644,0.005644,0.005644
24,7553.01,0.54822,0.38843,0.98315,0.99287,0.99335,0.99423,0.91903,0.40207,0.18482,0.87273,0.005446,0.005446,0.005446
25,7842.23,0.53991,0.38629,0.98024,0.99241,0.99314,0.99422,0.91976,0.40069,0.18395,0.87172,0.005248,0.005248,0.005248
26,8137.36,0.54104,0.38249,0.98066,0.99218,0.99279,0.99418,0.91994,0.39913,0.18301,0.87126,0.00505,0.00505,0.00505
27,8434.96,0.53394,0.38143,0.97596,0.99209,0.99298,0.9942,0.9201,0.39938,0.1829,0.87093,0.004852,0.004852,0.004852
28,8729.22,0.52851,0.37581,0.97449,0.99241,0.99303,0.99423,0.92022,0.39796,0.18187,0.87032,0.004654,0.004654,0.004654
29,9022.35,0.52322,0.37304,0.97247,0.99258,0.99252,0.99419,0.92037,0.39681,0.1817,0.86968,0.004456,0.004456,0.004456
30,9319.57,0.51802,0.37054,0.971,0.99153,0.99241,0.99423,0.92053,0.39622,0.1813,0.86948,0.004258,0.004258,0.004258
31,9613.48,0.51717,0.36802,0.97003,0.99241,0.99234,0.99423,0.92098,0.39512,0.18077,0.86903,0.00406,0.00406,0.00406
